SalesID,DateKey,PharmacyID,ProductID,UnitsSold,RevenueEUR,CostEUR,MarginEUR,PromoFlag
S0008915,20240418,PH0083,PR0048,10,110.29,84.5,25.79,Yes
S0008916,20240418,PH0083,PR0076,7,365.55,279.66,85.89,No
S0008917,20240418,PH0085,PR0172,4,96.6,72.68,23.92,No
S0008918,20240418,PH0091,PR0071,6,116.49,77.45,39.04,No
S0008919,20240418,PH0092,PR0151,10,127.41,85.71,41.7,No
S0008920,20240418,PH0094,PR0158,2,31.14,19.51,11.63,No
S0008921,20240418,PH0094,PR0068,5,47.54,35.39,12.15,No
S0008922,20240418,PH0095,PR0148,2,141.71,105.86,35.85,No
S0008923,20240418,PH0095,PR0139,3,31.12,21.16,9.96,No
S0008924,20240418,PH0097,PR0169,1,36.53,25.65,10.88,No
S0008925,20240418,PH0098,PR0091,8,148.5,88.94,59.56,No
S0008926,20240418,PH0101,PR0012,2,111.87,88.15,23.72,No
S0008927,20240418,PH0104,PR0169,1,35.83,25.8,10.03,No
S0008928,20240418,PH0104,PR0171,2,176.95,131.98,44.97,No
S0008929,20240418,PH0106,PR0200,15,119.7,80.82,38.88,No
S0008930,20240418,PH0106,PR0078,9,197.98,141.78,56.2,Yes
S0008931,20240418,PH0106,PR0136,8,114.83,75.62,39.21,No
S0008932,20240418,PH0109,PR0066,5,56.39,36.03,20.36,No
S0008933,20240418,PH0109,PR0107,20,225.78,148.5,77.28,No
S0008934,20240418,PH0111,PR0018,4,161.44,122.12,39.32,No
S0008935,20240418,PH0112,PR0036,9,302.4,201.66,100.74,No
S0008936,20240418,PH0112,PR0206,7,32.19,22.28,9.91,No
S0008937,20240418,PH0113,PR0194,1,42.16,32.06,10.1,No
S0008938,20240418,PH0118,PR0095,3,104.34,78.8,25.54,No
S0008939,20240418,PH0119,PR0078,17,421.91,277.24,144.67,No
S0008940,20240419,PH0004,PR0032,7,155.66,114.33,41.33,No
S0008941,20240419,PH0005,PR0064,2,33.27,24.31,8.96,No
S0008942,20240419,PH0006,PR0062,4,219.22,173.69,45.53,No
S0008943,20240419,PH0006,PR0039,2,42.01,28.57,13.44,No
S0008944,20240419,PH0006,PR0096,15,98.67,68.11,30.56,No
S0008945,20240419,PH0010,PR0056,2,29.96,24.16,5.8,Yes
S0008946,20240419,PH0012,PR0035,14,29.99,19.95,10.04,No
S0008947,20240419,PH0013,PR0132,4,45.08,32.11,12.97,No
S0008948,20240419,PH0015,PR0193,13,304.98,205.16,99.82,No
S0008949,20240419,PH0020,PR0063,2,8.14,5.14,3.0,No
S0008950,20240419,PH0020,PR0171,1,85.9,66.43,19.47,No
S0008951,20240419,PH0022,PR0148,1,72.88,54.01,18.87,No
S0008952,20240419,PH0023,PR0042,22,154.68,110.25,44.43,No
S0008953,20240419,PH0024,PR0034,4,46.04,31.06,14.98,No
S0008954,20240419,PH0024,PR0164,10,130.2,78.76,51.44,No
S0008955,20240419,PH0024,PR0116,10,191.9,135.86,56.04,No
S0008956,20240419,PH0024,PR0099,8,197.04,132.84,64.2,No
S0008957,20240419,PH0026,PR0126,9,32.62,20.73,11.89,No
S0008958,20240419,PH0027,PR0148,1,70.18,52.46,17.72,No
S0008959,20240419,PH0028,PR0008,3,180.35,140.53,39.82,No
S0008960,20240419,PH0028,PR0095,5,165.2,123.31,41.89,No
S0008961,20240419,PH0029,PR0160,3,27.54,24.55,2.99,Yes
S0008962,20240419,PH0031,PR0061,9,27.22,18.73,8.49,No
S0008963,20240419,PH0032,PR0093,6,86.1,61.27,24.83,No
S0008964,20240419,PH0035,PR0076,2,93.29,70.9,22.39,No
S0008965,20240419,PH0035,PR0181,3,81.86,73.5,8.36,Yes
S0008966,20240419,PH0036,PR0059,22,208.88,134.78,74.1,No
S0008967,20240419,PH0037,PR0115,3,38.7,33.17,5.53,Yes
S0008968,20240419,PH0037,PR0131,1,26.73,19.91,6.82,No
S0008969,20240419,PH0038,PR0173,1,63.47,47.94,15.53,No
S0008970,20240419,PH0039,PR0077,22,198.66,146.83,51.83,No
S0008971,20240419,PH0039,PR0076,4,202.8,151.67,51.13,No
S0008972,20240419,PH0039,PR0171,1,85.9,67.65,18.25,No
S0008973,20240419,PH0041,PR0114,7,171.77,101.04,70.73,No
S0008974,20240419,PH0042,PR0077,16,156.04,118.04,38.0,No
S0008975,20240419,PH0047,PR0187,7,123.11,81.24,41.87,No
S0008976,20240419,PH0047,PR0020,4,71.61,45.45,26.16,No
S0008977,20240419,PH0051,PR0041,5,282.28,211.53,70.75,No
S0008978,20240419,PH0051,PR0105,4,38.82,29.18,9.64,Yes
S0008979,20240419,PH0051,PR0055,8,497.7,397.04,100.66,No
S0008980,20240419,PH0053,PR0032,3,89.81,66.87,22.94,No
S0008981,20240419,PH0054,PR0038,12,70.2,47.8,22.4,No
S0008982,20240419,PH0055,PR0140,11,273.85,171.44,102.41,No
S0008983,20240419,PH0055,PR0163,2,230.31,163.89,66.42,No
S0008984,20240419,PH0056,PR0038,2,10.79,7.28,3.51,No
S0008985,20240419,PH0058,PR0109,11,214.79,152.38,62.41,No
S0008986,20240419,PH0062,PR0016,6,73.76,48.19,25.57,No
S0008987,20240419,PH0063,PR0145,8,664.27,516.07,148.2,No
S0008988,20240419,PH0065,PR0197,2,38.7,24.64,14.06,No
S0008989,20240419,PH0066,PR0025,5,415.79,293.72,122.07,No
S0008990,20240419,PH0066,PR0213,10,303.16,210.95,92.21,No
S0008991,20240419,PH0067,PR0011,3,33.7,22.84,10.86,No
S0008992,20240419,PH0067,PR0164,1,14.06,9.17,4.89,No
S0008993,20240419,PH0069,PR0198,13,137.33,82.76,54.57,No
S0008994,20240419,PH0069,PR0145,5,379.24,294.9,84.34,No
S0008995,20240419,PH0069,PR0113,3,19.32,12.68,6.64,No
S0008996,20240419,PH0069,PR0122,2,192.38,136.02,56.36,No
S0008997,20240419,PH0073,PR0081,9,148.59,95.15,53.44,No
S0008998,20240419,PH0073,PR0067,2,38.56,27.31,11.25,No
S0008999,20240419,PH0074,PR0062,5,309.76,242.68,67.08,No
S0009000,20240419,PH0074,PR0132,15,175.81,119.99,55.82,No
S0009001,20240419,PH0074,PR0084,12,226.01,152.19,73.82,No
S0009002,20240419,PH0074,PR0178,13,220.51,147.08,73.43,No
S0009003,20240419,PH0076,PR0096,5,37.18,24.42,12.76,No
S0009004,20240419,PH0079,PR0014,2,19.25,13.65,5.6,No
S0009005,20240419,PH0079,PR0136,15,159.94,105.33,54.61,No
S0009006,20240419,PH0081,PR0181,2,75.22,56.84,18.38,No
S0009007,20240419,PH0082,PR0042,19,127.4,87.83,39.57,No
S0009008,20240419,PH0085,PR0148,1,64.11,46.06,18.05,No
S0009009,20240419,PH0085,PR0086,7,62.71,47.38,15.33,No
S0009010,20240419,PH0085,PR0219,4,176.93,135.57,41.36,No
S0009011,20240419,PH0086,PR0021,10,139.86,94.86,45.0,No
S0009012,20240419,PH0087,PR0099,13,320.19,213.88,106.31,No
S0009013,20240419,PH0087,PR0073,21,359.52,225.19,134.33,No
S0009014,20240419,PH0089,PR0193,13,289.73,193.88,95.85,No
S0009015,20240419,PH0093,PR0087,9,64.0,47.23,16.77,No
S0009016,20240419,PH0095,PR0192,9,316.39,216.5,99.89,No
S0009017,20240419,PH0097,PR0137,6,95.71,77.96,17.75,Yes
S0009018,20240419,PH0103,PR0139,10,102.75,69.24,33.51,No
S0009019,20240419,PH0107,PR0215,1,52.49,40.99,11.5,No
S0009020,20240419,PH0107,PR0067,4,73.26,53.74,19.52,No
S0009021,20240419,PH0107,PR0171,1,81.61,62.4,19.21,No
S0009022,20240419,PH0108,PR0200,15,117.42,80.98,36.44,No
S0009023,20240419,PH0108,PR0027,4,411.84,300.35,111.49,No
S0009024,20240419,PH0109,PR0167,4,34.27,22.91,11.36,Yes
S0009025,20240419,PH0111,PR0036,10,320.0,202.35,117.65,No
S0009026,20240419,PH0113,PR0046,6,26.08,15.93,10.15,No
S0009027,20240419,PH0116,PR0101,5,527.25,377.21,150.04,No
S0009028,20240419,PH0117,PR0142,3,154.6,119.98,34.62,No
S0009029,20240419,PH0118,PR0196,2,7.82,6.82,1.0,Yes
S0009030,20240419,PH0120,PR0054,17,152.78,102.01,50.77,No
S0009031,20240420,PH0002,PR0055,2,165.9,134.3,31.6,No
S0009032,20240420,PH0002,PR0056,6,106.95,73.36,33.59,No
S0009033,20240420,PH0002,PR0129,3,35.01,27.53,7.48,No
S0009034,20240420,PH0002,PR0210,9,296.71,182.06,114.65,No
S0009035,20240420,PH0004,PR0218,5,66.85,49.87,16.98,No
S0009036,20240420,PH0005,PR0065,5,34.32,22.98,11.34,No
S0009037,20240420,PH0005,PR0213,10,227.37,159.49,67.88,No
S0009038,20240420,PH0010,PR0166,6,80.03,55.55,24.48,No
S0009039,20240420,PH0014,PR0217,8,94.92,60.49,34.43,No
S0009040,20240420,PH0015,PR0128,5,115.4,72.45,42.95,No
S0009041,20240420,PH0017,PR0184,2,76.4,61.64,14.76,No
S0009042,20240420,PH0017,PR0183,6,68.7,46.39,22.31,No
S0009043,20240420,PH0021,PR0024,6,115.73,76.38,39.35,No
S0009044,20240420,PH0023,PR0096,8,61.78,41.64,20.14,No
S0009045,20240420,PH0024,PR0203,8,65.65,57.14,8.51,Yes
S0009046,20240420,PH0024,PR0178,5,81.55,53.85,27.7,No
S0009047,20240420,PH0025,PR0090,3,32.85,19.58,13.27,No
S0009048,20240420,PH0027,PR0082,12,345.2,262.18,83.02,No
S0009049,20240420,PH0031,PR0210,3,99.86,58.76,41.1,No
S0009050,20240420,PH0034,PR0161,5,115.05,93.27,21.78,No
S0009051,20240420,PH0035,PR0024,6,87.83,66.24,21.59,Yes
S0009052,20240420,PH0036,PR0055,3,220.14,173.85,46.29,No
S0009053,20240420,PH0036,PR0205,15,318.92,190.0,128.92,No
S0009054,20240420,PH0038,PR0138,3,101.24,75.54,25.7,No
S0009055,20240420,PH0041,PR0160,11,100.01,82.09,17.92,Yes
S0009056,20240420,PH0049,PR0135,18,298.35,207.46,90.89,No
S0009057,20240420,PH0050,PR0218,6,111.07,78.25,32.82,No
S0009058,20240420,PH0050,PR0124,5,275.99,211.94,64.05,No
S0009059,20240420,PH0051,PR0142,5,257.67,197.84,59.83,No
S0009060,20240420,PH0053,PR0038,6,35.78,24.51,11.27,No
S0009061,20240420,PH0055,PR0158,7,146.71,97.75,48.96,No
S0009062,20240420,PH0056,PR0075,12,149.92,118.12,31.8,Yes
S0009063,20240420,PH0059,PR0090,5,70.2,44.45,25.75,No
S0009064,20240420,PH0062,PR0014,3,35.17,24.21,10.96,No
S0009065,20240420,PH0063,PR0087,5,40.2,29.27,10.93,No
S0009066,20240420,PH0063,PR0154,1,95.16,69.93,25.23,No
S0009067,20240420,PH0064,PR0142,4,206.14,157.92,48.22,No
S0009068,20240420,PH0066,PR0036,13,432.64,268.61,164.03,No
S0009069,20240420,PH0066,PR0187,9,156.78,101.95,54.83,No
S0009070,20240420,PH0068,PR0184,2,59.59,47.31,12.28,No
S0009071,20240420,PH0072,PR0064,5,106.65,78.56,28.09,No
S0009072,20240420,PH0073,PR0192,11,368.28,249.53,118.75,No
S0009073,20240420,PH0074,PR0137,18,304.71,241.83,62.88,Yes
S0009074,20240420,PH0074,PR0209,12,504.44,399.48,104.96,No
S0009075,20240420,PH0077,PR0186,4,78.96,52.2,26.76,No
S0009076,20240420,PH0078,PR0181,5,184.47,142.35,42.12,No
S0009077,20240420,PH0081,PR0194,1,42.16,33.2,8.96,No
S0009078,20240420,PH0085,PR0213,13,360.0,246.85,113.15,No
S0009079,20240420,PH0088,PR0033,6,84.73,57.6,27.13,No
S0009080,20240420,PH0091,PR0165,3,19.15,14.4,4.75,Yes
S0009081,20240420,PH0091,PR0186,4,81.33,53.9,27.43,No
S0009082,20240420,PH0093,PR0177,5,45.4,32.29,13.11,No
S0009083,20240420,PH0095,PR0162,5,16.91,11.74,5.17,No
S0009084,20240420,PH0101,PR0061,6,18.14,12.71,5.43,No
S0009085,20240420,PH0101,PR0082,1,29.04,22.25,6.79,No
S0009086,20240420,PH0104,PR0205,2,47.61,28.78,18.83,No
S0009087,20240420,PH0104,PR0015,2,92.51,69.53,22.98,No
S0009088,20240420,PH0107,PR0043,15,184.25,127.81,56.44,No
S0009089,20240420,PH0108,PR0107,4,40.92,30.08,10.84,Yes
S0009090,20240420,PH0112,PR0145,3,202.77,190.68,12.09,Yes
S0009091,20240420,PH0116,PR0068,5,57.9,43.27,14.63,No
S0009092,20240420,PH0117,PR0038,5,17.88,14.69,3.19,Yes
S0009093,20240420,PH0118,PR0013,6,101.22,67.26,33.96,No
S0009094,20240420,PH0120,PR0079,9,116.45,87.08,29.37,No
S0009095,20240420,PH0120,PR0162,10,30.59,20.48,10.11,No
S0009096,20240421,PH0002,PR0190,3,77.97,51.77,26.2,No
S0009097,20240421,PH0002,PR0099,5,128.08,89.04,39.04,No
S0009098,20240421,PH0007,PR0044,9,242.87,154.56,88.31,No
S0009099,20240421,PH0008,PR0134,6,63.88,44.9,18.98,No
S0009100,20240421,PH0009,PR0097,6,62.87,40.54,22.33,No
S0009101,20240421,PH0009,PR0041,5,314.3,273.47,40.83,Yes
S0009102,20240421,PH0010,PR0137,2,37.74,26.1,11.64,No
S0009103,20240421,PH0010,PR0002,12,76.5,63.93,12.57,Yes
S0009104,20240421,PH0016,PR0095,4,150.25,112.16,38.09,No
S0009105,20240421,PH0017,PR0040,4,103.08,72.82,30.26,No
S0009106,20240421,PH0020,PR0187,6,100.5,65.28,35.22,No
S0009107,20240421,PH0024,PR0186,3,59.22,39.17,20.05,No
S0009108,20240421,PH0025,PR0134,6,63.88,46.67,17.21,No
S0009109,20240421,PH0027,PR0086,8,78.46,56.36,22.1,No
S0009110,20240421,PH0029,PR0061,3,9.07,6.21,2.86,No
S0009111,20240421,PH0029,PR0173,2,126.95,93.77,33.18,No
S0009112,20240421,PH0032,PR0164,8,104.16,66.02,38.14,No
S0009113,20240421,PH0034,PR0028,5,79.74,55.04,24.7,Yes
S0009114,20240421,PH0035,PR0186,8,145.29,98.0,47.29,No
S0009115,20240421,PH0035,PR0034,8,69.3,54.93,14.37,Yes
S0009116,20240421,PH0036,PR0123,5,218.82,179.15,39.67,No
S0009117,20240421,PH0036,PR0048,2,22.1,15.4,6.7,No
S0009118,20240421,PH0038,PR0044,15,347.78,254.37,93.41,Yes
S0009119,20240421,PH0042,PR0160,6,60.2,49.47,10.73,Yes
S0009120,20240421,PH0043,PR0107,18,207.14,132.97,74.17,No
S0009121,20240421,PH0044,PR0145,3,246.71,189.11,57.6,No
S0009122,20240421,PH0045,PR0142,3,208.12,158.38,49.74,No
S0009123,20240421,PH0049,PR0150,7,345.61,314.31,31.3,Yes
S0009124,20240421,PH0049,PR0192,4,104.46,71.55,32.91,No
S0009125,20240421,PH0055,PR0095,2,73.04,55.62,17.42,No
S0009126,20240421,PH0055,PR0133,8,178.25,115.9,62.35,No
S0009127,20240421,PH0056,PR0049,2,101.1,79.42,21.68,No
S0009128,20240421,PH0056,PR0003,10,127.49,96.66,30.83,No
S0009129,20240421,PH0058,PR0057,9,370.72,293.93,76.79,No
S0009130,20240421,PH0058,PR0102,8,180.06,126.58,53.48,No
S0009131,20240421,PH0062,PR0216,7,448.08,336.35,111.73,No
S0009132,20240421,PH0063,PR0180,6,391.81,302.02,89.79,No
S0009133,20240421,PH0064,PR0106,2,98.53,77.83,20.7,No
S0009134,20240421,PH0067,PR0134,6,88.45,61.86,26.59,No
S0009135,20240421,PH0067,PR0024,3,57.87,39.78,18.09,No
S0009136,20240421,PH0068,PR0048,12,112.41,79.35,33.06,No
S0009137,20240421,PH0072,PR0093,7,100.45,70.42,30.03,No
S0009138,20240421,PH0073,PR0120,9,24.12,15.74,8.38,No
S0009139,20240421,PH0073,PR0079,3,40.86,30.75,10.11,No
S0009140,20240421,PH0073,PR0132,4,45.08,31.71,13.37,No
S0009141,20240421,PH0074,PR0048,4,49.96,36.0,13.96,No
S0009142,20240421,PH0074,PR0050,15,127.76,95.78,31.98,No
S0009143,20240421,PH0076,PR0110,4,88.28,53.69,34.59,No
S0009144,20240421,PH0078,PR0206,12,54.14,38.13,16.01,No
S0009145,20240421,PH0083,PR0080,1,62.8,51.75,11.05,No
S0009146,20240421,PH0083,PR0134,6,84.36,61.73,22.63,No
S0009147,20240421,PH0085,PR0093,18,245.38,170.55,74.83,No
S0009148,20240421,PH0085,PR0138,2,61.07,43.83,17.24,No
S0009149,20240421,PH0089,PR0102,6,118.79,80.76,38.03,No
S0009150,20240421,PH0091,PR0078,2,47.34,32.09,15.25,No
S0009151,20240421,PH0091,PR0100,3,221.15,163.15,58.0,No
S0009152,20240421,PH0092,PR0123,3,146.99,116.3,30.69,No
S0009153,20240421,PH0092,PR0095,5,179.12,139.26,39.86,No
S0009154,20240421,PH0093,PR0111,4,108.89,87.72,21.17,No
S0009155,20240421,PH0093,PR0021,1,12.25,8.51,3.74,No
S0009156,20240421,PH0094,PR0016,12,121.12,77.37,43.75,No
S0009157,20240421,PH0096,PR0001,1,10.14,7.58,2.56,No
S0009158,20240421,PH0096,PR0044,3,77.1,46.48,30.62,No
S0009159,20240421,PH0103,PR0072,7,202.6,128.3,74.3,No
S0009160,20240421,PH0104,PR0028,15,238.66,167.11,71.55,Yes
S0009161,20240421,PH0106,PR0024,9,168.78,109.87,58.91,No
S0009162,20240421,PH0108,PR0205,3,71.41,43.59,27.82,No
S0009163,20240421,PH0108,PR0205,9,214.23,127.93,86.3,No
S0009164,20240421,PH0112,PR0013,6,106.28,73.31,32.97,No
S0009165,20240421,PH0112,PR0089,7,104.81,71.35,33.46,No
S0009166,20240421,PH0117,PR0174,11,76.19,52.72,23.47,No
S0009167,20240421,PH0118,PR0106,2,126.32,99.59,26.73,No
S0009168,20240421,PH0120,PR0144,9,188.61,119.53,69.08,No
S0009169,20240422,PH0004,PR0173,1,47.15,34.74,12.41,No
S0009170,20240422,PH0004,PR0171,3,201.01,153.71,47.3,No
S0009171,20240422,PH0007,PR0075,15,225.86,160.82,65.04,No
S0009172,20240422,PH0008,PR0052,8,40.5,27.66,12.84,No
S0009173,20240422,PH0009,PR0056,8,143.98,97.73,46.25,No
S0009174,20240422,PH0010,PR0051,4,299.4,242.56,56.84,No
S0009175,20240422,PH0014,PR0123,2,99.9,79.6,20.3,No
S0009176,20240422,PH0016,PR0116,5,103.63,72.27,31.36,No
S0009177,20240422,PH0018,PR0217,6,62.38,38.61,23.77,No
S0009178,20240422,PH0021,PR0071,11,223.94,146.68,77.26,No
S0009179,20240422,PH0021,PR0069,3,359.9,259.31,100.59,No
S0009180,20240422,PH0023,PR0117,8,44.06,29.92,14.14,No
S0009181,20240422,PH0023,PR0143,4,174.01,135.41,38.6,No
S0009182,20240422,PH0024,PR0096,10,71.5,48.75,22.75,No
S0009183,20240422,PH0024,PR0100,1,71.57,54.95,16.62,No
S0009184,20240422,PH0026,PR0092,8,486.2,375.5,110.7,No
S0009185,20240422,PH0030,PR0189,5,61.15,49.89,11.26,Yes
S0009186,20240422,PH0035,PR0067,6,106.43,75.9,30.53,No
S0009187,20240422,PH0036,PR0096,11,72.36,47.99,24.37,No
S0009188,20240422,PH0036,PR0129,1,10.32,8.33,1.99,No
S0009189,20240422,PH0037,PR0008,2,132.89,103.31,29.58,No
S0009190,20240422,PH0038,PR0130,2,30.11,20.04,10.07,No
S0009191,20240422,PH0041,PR0084,7,120.43,82.61,37.82,No
S0009192,20240422,PH0041,PR0034,10,109.34,71.57,37.77,No
S0009193,20240422,PH0043,PR0214,10,187.11,117.98,69.13,No
S0009194,20240422,PH0043,PR0167,7,65.93,41.46,24.47,No
S0009195,20240422,PH0043,PR0049,10,558.71,427.91,130.8,No
S0009196,20240422,PH0044,PR0027,6,617.75,441.21,176.54,No
S0009197,20240422,PH0044,PR0106,3,195.16,153.98,41.18,No
S0009198,20240422,PH0044,PR0184,1,39.35,30.82,8.53,No
S0009199,20240422,PH0045,PR0128,17,411.98,274.46,137.52,No
S0009200,20240422,PH0045,PR0049,2,111.74,88.75,22.99,No
S0009201,20240422,PH0046,PR0110,7,148.54,88.15,60.39,No
S0009202,20240422,PH0048,PR0064,2,42.66,31.24,11.42,No
S0009203,20240422,PH0051,PR0137,16,228.63,157.52,71.11,No
S0009204,20240422,PH0051,PR0042,12,51.28,40.97,10.31,Yes
S0009205,20240422,PH0052,PR0212,10,24.31,15.04,9.27,No
S0009206,20240422,PH0053,PR0021,12,167.83,113.58,54.25,No
S0009207,20240422,PH0054,PR0165,2,14.38,9.64,4.74,No
S0009208,20240422,PH0066,PR0093,13,194.01,136.49,57.52,No
S0009209,20240422,PH0066,PR0097,12,124.55,84.68,39.87,No
S0009210,20240422,PH0068,PR0196,12,45.58,32.98,12.6,No
S0009211,20240422,PH0070,PR0132,9,101.43,73.11,28.32,No
S0009212,20240422,PH0071,PR0074,10,16.31,13.0,3.31,Yes
S0009213,20240422,PH0073,PR0023,12,192.24,129.32,62.92,No
S0009214,20240422,PH0075,PR0103,1,9.27,6.67,2.6,No
S0009215,20240422,PH0075,PR0146,4,8.09,5.62,2.47,No
S0009216,20240422,PH0078,PR0033,22,347.83,239.3,108.53,No
S0009217,20240422,PH0081,PR0183,10,109.89,85.68,24.21,Yes
S0009218,20240422,PH0083,PR0047,6,87.08,57.34,29.74,No
S0009219,20240422,PH0083,PR0220,9,153.33,98.78,54.55,No
S0009220,20240422,PH0085,PR0055,9,681.95,548.9,133.05,No
S0009221,20240422,PH0087,PR0115,9,133.47,92.45,41.02,No
S0009222,20240422,PH0092,PR0023,16,264.01,173.06,90.95,No
S0009223,20240422,PH0093,PR0092,5,303.88,227.16,76.72,No
S0009224,20240422,PH0094,PR0184,2,59.59,47.23,12.36,No
S0009225,20240422,PH0094,PR0133,16,264.83,167.53,97.3,No
S0009226,20240422,PH0095,PR0047,4,59.18,38.8,20.38,No
S0009227,20240422,PH0095,PR0003,20,281.82,201.62,80.2,No
S0009228,20240422,PH0095,PR0106,1,54.44,50.16,4.28,Yes
S0009229,20240422,PH0097,PR0081,10,173.36,112.54,60.82,No
S0009230,20240422,PH0098,PR0111,1,28.11,22.57,5.54,No
S0009231,20240422,PH0100,PR0056,2,34.28,23.98,10.3,No
S0009232,20240422,PH0100,PR0170,11,270.38,176.14,94.24,No
S0009233,20240422,PH0104,PR0176,9,124.87,86.13,38.74,No
S0009234,20240422,PH0104,PR0167,4,36.96,21.84,15.12,No
S0009235,20240422,PH0109,PR0109,7,130.36,92.27,38.09,No
S0009236,20240422,PH0109,PR0182,10,64.99,44.12,20.87,No
S0009237,20240422,PH0109,PR0134,8,112.48,78.87,33.61,No
S0009238,20240422,PH0110,PR0015,3,145.51,111.57,33.94,No
S0009239,20240422,PH0112,PR0149,10,75.81,54.15,21.66,No
S0009240,20240422,PH0112,PR0016,3,33.92,25.49,8.43,Yes
S0009241,20240422,PH0112,PR0132,8,94.67,66.54,28.13,No
S0009242,20240422,PH0113,PR0219,6,293.33,217.96,75.37,No
S0009243,20240422,PH0114,PR0079,5,62.65,45.63,17.02,No
S0009244,20240422,PH0120,PR0129,2,21.32,16.54,4.78,No
S0009245,20240423,PH0006,PR0196,12,53.76,39.05,14.71,No
S0009246,20240423,PH0008,PR0192,11,287.26,194.92,92.34,No
S0009247,20240423,PH0008,PR0033,7,83.81,57.53,26.28,No
S0009248,20240423,PH0010,PR0171,1,88.48,69.05,19.43,No
S0009249,20240423,PH0012,PR0070,9,68.84,52.12,16.72,Yes
S0009250,20240423,PH0014,PR0078,5,120.65,80.6,40.05,No
S0009251,20240423,PH0015,PR0073,3,51.36,32.89,18.47,No
S0009252,20240423,PH0015,PR0086,8,75.44,53.81,21.63,No
S0009253,20240423,PH0017,PR0182,15,87.34,61.03,26.31,Yes
S0009254,20240423,PH0018,PR0114,6,142.58,89.77,52.81,No
S0009255,20240423,PH0018,PR0082,9,229.02,179.44,49.58,No
S0009256,20240423,PH0018,PR0121,1,50.79,39.67,11.12,No
S0009257,20240423,PH0018,PR0080,6,336.55,267.59,68.96,No
S0009258,20240423,PH0020,PR0005,4,57.16,40.36,16.8,No
S0009259,20240423,PH0021,PR0206,10,47.3,32.54,14.76,No
S0009260,20240423,PH0023,PR0040,3,72.47,59.58,12.89,Yes
S0009261,20240423,PH0023,PR0158,8,172.45,111.35,61.1,No
S0009262,20240423,PH0024,PR0080,3,182.91,148.45,34.46,No
S0009263,20240423,PH0025,PR0154,1,71.37,50.71,20.66,No
S0009264,20240423,PH0026,PR0004,4,55.68,32.63,23.05,No
S0009265,20240423,PH0028,PR0070,16,124.49,79.78,44.71,No
S0009266,20240423,PH0031,PR0186,8,165.82,115.0,50.82,No
S0009267,20240423,PH0033,PR0102,9,178.18,123.28,54.9,No
S0009268,20240423,PH0035,PR0193,9,194.25,129.84,64.41,No
S0009269,20240423,PH0036,PR0033,9,127.1,86.61,40.49,No
S0009270,20240423,PH0039,PR0086,15,141.45,102.89,38.56,No
S0009271,20240423,PH0042,PR0022,1,22.94,17.74,5.2,Yes
S0009272,20240423,PH0043,PR0202,5,73.5,50.03,23.47,No
S0009273,20240423,PH0044,PR0116,4,79.06,57.03,22.03,No
S0009274,20240423,PH0044,PR0066,8,90.23,57.51,32.72,No
S0009275,20240423,PH0047,PR0059,9,97.52,65.49,32.03,No
S0009276,20240423,PH0047,PR0211,3,80.1,62.41,17.69,No
S0009277,20240423,PH0049,PR0182,8,39.37,25.15,14.22,No
S0009278,20240423,PH0050,PR0034,14,174.03,116.05,57.98,No
S0009279,20240423,PH0053,PR0133,8,178.25,112.16,66.09,No
S0009280,20240423,PH0055,PR0090,15,221.13,133.35,87.78,No
S0009281,20240423,PH0057,PR0141,1,41.23,31.86,9.37,No
S0009282,20240423,PH0058,PR0131,2,54.99,42.2,12.79,No
S0009283,20240423,PH0058,PR0123,3,154.13,124.24,29.89,No
S0009284,20240423,PH0065,PR0117,13,61.0,41.4,19.6,No
S0009285,20240423,PH0065,PR0173,1,55.61,41.28,14.33,No
S0009286,20240423,PH0067,PR0176,7,101.83,70.01,31.82,No
S0009287,20240423,PH0069,PR0162,7,21.41,15.22,6.19,No
S0009288,20240423,PH0070,PR0071,16,301.6,194.61,106.99,No
S0009289,20240423,PH0070,PR0160,4,36.51,30.91,5.6,Yes
S0009290,20240423,PH0071,PR0178,4,61.98,41.14,20.84,No
S0009291,20240423,PH0072,PR0105,6,80.46,58.33,22.13,No
S0009292,20240423,PH0073,PR0016,11,142.34,97.15,45.19,No
S0009293,20240423,PH0074,PR0192,7,243.73,162.07,81.66,No
S0009294,20240423,PH0075,PR0006,7,88.71,63.5,25.21,No
S0009295,20240423,PH0075,PR0133,17,342.7,219.82,122.88,No
S0009296,20240423,PH0079,PR0007,14,186.08,117.86,68.22,No
S0009297,20240423,PH0083,PR0116,6,118.59,80.96,37.63,No
S0009298,20240423,PH0088,PR0134,6,75.35,52.91,22.44,No
S0009299,20240423,PH0089,PR0203,1,7.63,6.92,0.71,Yes
S0009300,20240423,PH0090,PR0179,2,17.37,15.04,2.33,Yes
S0009301,20240423,PH0091,PR0097,7,71.96,47.28,24.68,No
S0009302,20240423,PH0091,PR0046,4,17.06,10.89,6.17,No
S0009303,20240423,PH0092,PR0164,4,53.64,33.04,20.6,No
S0009304,20240423,PH0097,PR0209,4,169.76,139.6,30.16,No
S0009305,20240423,PH0100,PR0170,7,172.06,112.77,59.29,No
S0009306,20240423,PH0104,PR0174,12,109.76,80.58,29.18,No
S0009307,20240423,PH0105,PR0153,2,27.61,17.18,10.43,No
S0009308,20240423,PH0105,PR0211,5,120.79,95.04,25.75,No
S0009309,20240423,PH0107,PR0048,6,68.46,49.76,18.7,No
S0009310,20240423,PH0107,PR0011,6,59.28,38.87,20.41,No
